Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,,,485,1150,4990,6130,4780,3960,2160,1530,1060,761
1913,516,710,570,984,2690,8280,6480,5990,3930,1760,1010,736
1914,1050,787,906,2100,5730,7140,6530,3720,2140,1970,1760,1080
1915,886,749,806,2510,4140,4610,5020,3700,1690,1270,1190,585
1916,543,945,780,1280,3880,6580,6460,3930,2350,1620,1040,643
1917,589,543,482,767,4170,7880,6510,3720,2130,2100,1940,1590
1918,1660,1140,964,2020,5290,7970,6960,4320,2570,1650,1180,837
1919,668,584,497,1360,4050,6470,6930,4640,2420,1430,1320,1160
1920,1010,834,648,857,3980,7240,9600,5460,3130,3310,1860,1200
1921,935,899,824,1580,5330,9320,6610,4230,2710,2700,1940,1360
1922,908,677,590,848,4030,8130,5430,3450,2510,2300,1310,1170
1923,906,674,612,1410,4830,7830,5670,3490,2500,1290,939,841
1924,579,907,715,874,6020,6790,5060,3900,3110,1950,1310,1230
1925,869,780,702,2230,7060,7020,4810,3020,2360,1140,894,1700
1926,1240,857,939,2710,4810,4390,4300,2500,1580,1450,1270,882
1927,787,633,573,896,3320,7360,5880,3610,2510,2920,1730,1030
1928,1050,781,810,1550,6470,7440,5810,3230,1780,1300,860,540
1929,520,497,505,676,2750,6180,4150,2970,1890,1340,986,793
1930,975,799,635,1810,3510,6220,5370,3130,2180,1430,1160,840
1931,772,709,750,1120,4280,6100,5210,2950,2180,1950,1380,871
1932,721,772,935,2120,5470,7160,5160,3920,2370,1690,1790,1440
1933,989,754,675,1250,5090,7940,7950,5160,2850,2070,2820,1710
1934,1350,1370,1250,3380,6510,6570,4730,3480,2610,2420,2400,1350
1935,1240,1560,1090,1220,4600,7010,6340,3540,2260,1570,1250,1030
1936,752,696,662,1680,6060,7170,4930,2970,2150,2050,1900,1360
1937,618,528,637,1340,3880,6730,5090,3180,2450,1660,1760,1010
1938,823,633,701,1380,3690,5590,4170,2380,2060,1380,910,744
1939,728,579,714,2130,5740,6340,5400,3460,2220,2100,2050,2420
1940,1110,909,976,2360,4860,5900,4880,3380,2380,1870,1230,917
1941,809,791,842,2370,3530,4580,3960,2670,2630,3410,2230,1690
1942,983,776,665,1350,3550,6040,4770,3160,1890,1570,1120,962
1943,799,766,654,2170,3140,5770,5800,3510,2030,1470,994,707
1944,666,612,613,1580,3290,5390,3650,3210,2480,2250,1680,1050
1945,870,747,644,904,4110,6700,4250,2580,1740,1340,1020,764
1946,656,587,660,1150,6130,7480,5330,3210,1800,1030,727,675
1947,589,596,715,2070,5460,7170,5410,3200,2120,2070,1540,1050
1948,954,693,632,968,6550,10700,5130,4600,3460,2490,1610,829
1949,672,649,691,2150,6380,6140,4090,3440,2100,1490,1810,1200
1950,726,699,667,952,4160,8880,6650,3330,2120,1580,1550,1310
1951,874,774,659,1650,6040,6020,5040,2760,1550,1230,1100,793
1952,731,676,596,1700,5670,6790,5840,3260,1890,1540,921,624
1953,660,706,610,920,4960,6020,4840,2850,2330,1970,2000,1240
1954,843,939,775,796,4100,7600,7170,4460,3290,2490,2640,1800
1955,1100,918,741,1280,3520,7950,7900,4430,2160,1600,1260,869
1956,730,639,617,1700,5800,7740,4950,2780,1930,1870,1410,1030
1957,1210,1160,932,1510,8170,6820,4550,3390,2550,1590,1700,1500
1958,1310,1180,1260,2450,6390,7430,4340,2740,2260,2820,1610,1360
1959,1120,835,815,1560,4830,7460,6350,3630,4010,3410,2830,1860
1960,1210,1060,999,2530,4390,6980,7020,3690,2960,2780,2080,1260
1961,1180,1020,1010,2110,5250,7790,4430,2970,2690,2700,1720,906
1962,991,1420,808,2380,4150,6970,6100,4490,2710,2510,2710,1770
1963,1300,1620,1460,2130,4420,6670,5200,3580,2870,2320,1630,1300
1964,1100,1000,880,1490,3990,10200,7810,5030,3360,3460,2190,1310
1965,1120,1100,1090,2100,5220,7400,5050,3620,2230,2290,1950,1190
1966,886,856,876,2450,5290,7030,5910,3830,2510,2370,1680,1520
1967,1160,1100,966,1340,5420,9960,6560,3590,2370,2060,2020,1250
1968,1520,1450,1830,1760,5230,7890,7210,3770,3090,2430,2280,1340
1969,1030,985,897,2330,5150,6520,4140,3160,2740,2500,2010,1480
1970,1010,1010,959,1410,3630,6560,3780,2420,1810,1530,1020,809
1971,855,1030,841,1550,6120,7590,5590,3570,2360,1890,1550,908
1972,774,857,1500,2100,6450,10800,7330,4120,2280,1940,1500,1000
1973,984,842,850,1550,4910,6180,5000,2930,1680,2080,1620,1130
1974,987,929,927,2320,5890,8430,7470,4360,2440,1930,1290,978
1975,797,780,736,1100,3940,6830,6070,3420,2300,1950,2360,1480
1976,1140,1030,924,2300,7070,7250,7670,6440,4460,2510,1800,1480
1977,1240,1230,1130,2350,4710,5670,4830,3620,2340,1650,1260,1030
1978,881,791,952,1960,3950,5730,4540,2970,2600,2090,1590,1010
1979,801,721,957,1290,4910,6360,4860,2610,1830,1420,918,952
1980,684,649,703,1760,5120,4900,4010,2720,2600,2080,1630,1900
1981,1860,1480,1300,1880,4950,6260,4890,3620,2130,1530,1950,1140
1982,821,927,844,1010,5360,8690,7230,4850,3620,2310,1470,1110
1983,972,977,1240,1990,4090,6060,5240,3460,2210,1470,2050,878
1984,1160,1010,1160,2030,2870,6370,6580,3780,2920,2560,1370,861
1985,740,706,801,2070,5300,7390,4650,2770,1940,1980,1230,746
1986,813,809,1280,2090,3770,8390,5380,3220,1890,1470,1340,908
1987,1000,944,1300,2280,5120,5840,4070,2980,1680,1020,1210,811
1988,629,657,809,2410,5450,5940,4430,3010,1890,1540,1470,926
1989,800,685,682,1780,4860,6020,3990,3170,1840,1380,2060,1410
1990,1210,841,926,3000,5050,8760,6270,3340,1790,1520,2110,1190
1991,867,1560,1060,2690,5810,6910,6270,4330,2730,1560,1370,1110
1992,1090,1180,1770,2950,4800,5940,3870,2550,1960,2190,1740,853
1993,662,668,751,1940,5620,4930,3640,2900,1760,1060,1050,828
1994,819,709,1160,3600,5970,5960,5200,2900,1580,1350,857,814
1995,654,837,765,1900,4450,5880,4030,3500,1870,1730,2080,1560
1996,1120,947,1120,3080,4070,6750,6400,3780,2610,2130,1860,1210
1997,1040,938,1080,2580,7420,9580,7310,4440,2490,3270,2510,1320
1998,949,922,1050,1790,5730,4990,3910,2680,1490,1390,1180,839
1999,827,738,759,2390,5220,8910,8640,5250,2630,1610,1940,1230
2000,872,751,728,1980,4270,6740,6520,3730,2840,1920,1760,812
2001,754,580,537,1220,3620,5740,5110,3890,2000,1480,1600,924
2002,922,719,576,1800,5490,9300,6740,2960,2330,2160,1300,863
2003,698,665,735,2060,3700,6450,4430,2720,1630,2280,1560,836
2004,752,656,801,2440,4390,5380,3860,2530,3210,2270,2450,1690
2005,1780,2200,1730,2370,5470,6110,5040,2830,1900,2420,1970,1240
2006,1410,985,814,1910,4470,5900,3750,2270,1380,924,1410,860
2007,766,733,1420,2780,5500,8270,6100,3260,2040,2340,2400,1390
2008,935,847,848,1100,5990,7200,4980,3300,2370,1510,1750,1100
2009,1020,831,762,1960,4670,6610,4370,2790,1810,1220,1550,958
2010,991,810,1010,1790,3430,5400,4110,2600,1880,1970,1340,1030
